

ar     攻击命中率
as     攻击速度
ds     致命攻击，听起来很酷其实就是双倍伤害
cb     碎性打击/决定性打击。按照怪物当前生命值的百分比扣血
kb     击退
ow     撕裂伤口，一般可用来防止某些怪物自己回血
mf     提高魔法物品掉落几率
eg     提高金钱掉落数值
rep    自动生命恢复
cbf     不被冰冻属性
fhr     快速打击恢复。一般来说人物被怪物击中时有几率出现硬直，这个属性就是减少硬直时间。
fcr     快速施法速度.法系练法的重要属性。达到某一数值即可提高档位。这个属性事实上是指，当你施放一个魔法的时候，加快你从抬手到放出它的速度
mdr     减轻魔法伤害
itd     忽略目标防御力
ias     提升攻击速度。这个属性是对于非施法类的其他练法相对重要的属性，但要更复杂一些。比较好理解的说法是，这个属性是提高你完成一次攻击动作所需要的帧数
eth     不能修复的一次性物品
frw     快速移动/奔跑属性
req     物品的装备要求，一般包括强壮，敏捷，级别等
icob     提升抵挡概率
leech     吸血/吸魔法力/吸取经验值
rtc    符文财宝等级,怪物能掉落的最大符文等于RTC数值*2
tc    怪物的财宝等级

pe     完美绿宝石
pr     完美红宝石
pd     完美白钻石
pa     完美紫水晶
ps     完美骷髅
ps     完美蓝宝石
pt     完美黄宝石
pg     完美宝石
bs     宝石
cg     碎裂宝石，最低级的宝石
slpg     碎裂宝石，最低级的宝石
wmpg     完美宝石

cr     防冰,最高95
fr     防火,最高95
lr     防电,最高95
pr     防毒,最高95
cd     冰伤害
fd     火伤害
ld     电伤害
pd     毒伤害
md     魔法伤害
res     抗性(四防)
def    防御力
dam    伤害力，dmg 同理
dr      物理伤害减免。分为两种，一种是物理伤害减少XX点，感觉没啥卵用。另一种为减少X%，最高为50%。
ed     武器提升伤害力，或防具提升防御力
plr     减少中毒持续时间
ll      生命偷取（非施法职业才需要）
lm      魔法偷取（非施法职业才需要）
ek     杀死怪物获得法力

bc     最常指 6%提升魔法装备出现概率的小护身符，还有一个意思是 白痴...
sc     小护符，一般指7% mf 的小护身符，通用货币
lc     大型护符
gc     超大型护身符
b'sc     Baal 掉下的sc，因为其级别高，所以可以洗出较好属性
n'sc     尼塞拉克掉出的sc，因为其级别高，所以可以洗出较好属性
pdsc     增加毒伤害的小型护符，一般指100毒伤害的小护符
Lgc     +1 法师电系技能的超大型护身符

cb     巨神之刃
cs     巨神之剑
pb     幻化之刃
ms     密仪之剑
ss     刺客近身剪
amu     项链，护身符，Amulet ，同类意思的还有 ammy,xl
wbow     庇护之弓
mbow     女族长之弓
gris     Griswold's Legacy 游侠精华套装的简称
cXXq     还有 cXXe，指带残忍前缀和轻快/吸精后缀的武器，一般来说这些都是同类武器中最好的。例如 ccbq,cwpq,cmse,csse，cmbe 等等。
gmbow     一般指亚玛逊套装中的弓

Lionheart     神符之语 狮心
fury     神符之语 狂暴
Rhyme     神符之语 押韵
white     神符之语白色，男巫PK的好武器
Silence     神符之语 寂静
smoke     神符之语 烟雾

uni     暗金物品
gf     祖父--巨人之刃，野蛮人PVC最好的武器
tt     暗金亚玛逊专用标枪，也称 titan
wf     风之力，暗金九头蛇弓； 水鱼，多指不了解行情的玩家
wt     战场之靴
soj     乔丹之石。战网的主要流通货币
ear     String of Ears，通常叫物免腰带，还有1说是 pk人掉出的耳朵
ire     通常指 罗瑟战甲
sun     旭日东升
orb     眼球 或是指 女巫的技能
wmj     物免甲
wmd     物免盾
wmk     物免盔
gaze     通常指物免盔
doom     暗金冠军之剑
mesh     物免甲
mara     马拉的万花筒项链
skin     各个战网有些差别，多数指 暗金炎魔皮板甲，也有指 暗金海蛇皮甲
luna     暗金盾牌中的一种，具有冰吸收的属性
star     暗金恶魔流星锤
sash     物免腰带
dapao     人们常说的大炮，同意还有 ballista/dp
ebow     暗金十字军之弓
wmyd     物免腰带
raven     乌鸦
shako     暗金军帽，junmao
jordan     乔丹之石戒指
storm     物免盾暴风之盾
bbface     Arreat's Face Slayer Guard 野蛮人专用暗金盔
mallet     Schaefer's Hammer Legendary Mallet 传说之槌，游侠的称手武器
highlord     Highlord's Wrath 大军之怒，也称 dajun
Zakarum     暗金游侠专用盾


ik     野蛮人套装不朽之王的简称
tal     塔拉夏套装
naj     女巫套装娜吉
nat     刺客套装的简称
sigon     西刚套装
laying     门徒套装的手套
Mavina     亚玛逊玛维娜套装的简称，或写mvn

ama     亚玛逊，其它同意思的还有zon,amz
cs     亚玛逊双倍打击技能
ga     亚玛逊的向导箭技能
lf     亚玛逊的闪电之怒技能
ms     亚玛逊的排箭技能
sm     亚玛逊的缓慢攻击技能
valk     亚玛逊的女武神技能

asn     刺客，同样意思的还有ass
cm     刺客的爪掌握技能
df     刺客的龙翔技能
ls     刺客的闪电陷阱技能
mb     刺客的冲击波技能
ts     刺克的虎击技能
sm     刺客的影子大师技能
cos     刺客的幻影披风技能

bar     野蛮人，同样还有bb,ymr
bo     野蛮人战斗命令技能
is     野蛮人的钢铁皮肤技能
la     野蛮人的跳斩技能
nr     野蛮人的自然抗性技能
sm     野蛮人的剑掌握技能
ssbar     双剑野蛮人或剑盾野蛮人

dru     德鲁依
ca     德鲁依的暴风盔甲技能
os     德鲁伊的橡树技能
fury     德鲁依的狂怒技能

sor     女巫，同样的还有sorc
es     女巫的能量盾技能
cm     女巫的冰系掌握技能
fw     女巫的火墙技能
lm     女巫的电系掌握技能
tk     女巫的隔空取物技能
tp     女巫的瞬移技能
ts     女巫的雷云技能
sf     女巫的静电场技能
hydra     女巫的九头蛇技能
meteor     女巫的陨石技能

pal     游侠，同样的还有pala，pally，XXdin
hf     游侠的圣结寒冰技能
hs     游侠的神圣之盾技能
con     游侠的集中光环技能，conc 同理
foh     游侠的天堂之拳技能
ven     游侠的复仇技能
conv     游侠的审判光环技能

nec     男巫，同样的还有necro
bw     男巫的骨墙技能
ce     男巫的尸爆技能
gm     男巫的傀儡掌握技能
pn     男巫的毒之新星技能
ig     男巫的铁傀儡技能
im     男巫的钢铁处女技能
lr     男巫的降低抗性技能
amp     男巫的加强伤害技能
dec     男巫的衰老技能

str     Strength，力量
vit     Vitality，体力
eng     Energy，精力
dex     Dexterity，敏捷
hp      生命值
mp      法力值
Block   格挡几率（75%为上限，无法更高）
